Id,Name,MajorId,EMark,AMark,SchoolId,EYear,LStatus,EForm
10130000,Ph?m Hoàng Hoa,7510302A,28.25,5.4400001,4002,2010,4,3
10130001,Tr?n Hi?u L?i,7510206C,28.5,3.6099999,2128,2010,3,1
10130002,?? Minh Tri?u,7540101,15.75,2.9400001,3714,2010,2,2
10130003,Lê Mai H?u,7510209,28.25,6.3099999,1281,2010,3,3
10130004,Phan An Sang,7510202N,15.5,2.8,3207,2010,2,3
10130005,Phan Gia ??t,7510202A,21.5,1.29,2679,2010,1,1
10130006,Lý Nh? Di?m,7510302C,23.25,1.3099999,1024,2010,1,2
10130007,Phan Thành Ân,7510401,20.5,1.04,1233,2010,2,3
10130008,Nguy?n Hi?u Bích,7510102A,21.25,3.8399999,950,2010,2,1
10130009,D??ng Anh Hà,7510601A,18.25,5.8200002,3434,2010,3,1
10130010,Phan V? Khang,7580205,25.75,2.6199999,4091,2010,1,1
10130011,Nguy?n Thu Hông,7510406,27.25,3.74,77,2010,3,1
10130012,Lý Hoàng Nhân,7510208,17.5,0.07,716,2010,4,1
10130013,Nguy?n Gia Nhi,7510102,28.75,0.50999999,611,2010,4,2
10130014,H? Th?o Khang,7510303C,29.75,2.79,3938,2010,1,3
10130015,Lý Thành S?n,7510301,26.75,8.6199999,1131,2010,1,1
10130016,Hu?nh Nh? Ngân,7210403,17.5,3.0599999,1324,2010,4,3
10130017,??ng Gia ?ào,7480108,23.5,6.5,3276,2010,3,2
10130018,Nguy?n Tu?n Minh,7510106,21.25,3.26,1084,2010,2,3
10130019,Ph?m Thi?n Th?ch,7510201A,19.75,0.88,1908,2010,2,2
10130020,H? Vi Thành,7480108C,19.75,1.26,2768,2010,1,1
10130021,Lê Thanh ?ào,7510202,26.25,9.4499998,3752,2010,4,1
10130022,V? Ái Long,7510201,18.75,6.6599998,226,2010,1,2
10130023,Hu?nh An Di?m,7580101,16.75,2.8399999,3309,2010,3,3
10130024,Lý Xuân  Tài,7510206A,25.5,7.1900001,1932,2010,2,3
10130025,Bùi ??c Nhi,7480108,17.75,2.0799999,3681,2010,3,2
10130026,??ng Ái Hà,7510302C,16.75,8.3699999,1256,2010,2,1
10130027,Lê Vân M?nh,7510205C,17.5,3.4300001,1688,2010,3,2
10130028,Tr?n Th?o Hông,7510601C,18.75,0.46000001,2077,2010,1,2
10130029,Nguy?n Th?o Khanh,7510202C,28.25,4.5999999,3574,2010,4,2
10130030,Phan Yên Tín,7480108,21.5,0.54000002,2047,2010,3,2
10130031,Hoàng Gia Di?m,7510208,15.5,7.5900002,1667,2010,3,1
10130032,Phan Yên M?nh,7480118,15.5,0.20999999,298,2010,1,2
10130033,Hoàng Minh Tri?u,7510401,29.5,9.8400002,24,2010,2,2
10130034,Hu?nh Duy L?c,7510203A,16.75,0.57999998,1132,2010,4,3
10130035,Lý Nh?  Tài,7510601,20.25,8.5900002,1184,2010,4,1
10130036,V? H?i Thiên,7220201,20.75,0.2,2465,2010,1,2
10130037,H? Ái ??t,7140231,24.5,7.3099999,3763,2010,4,2
10130038,V? Hoàng Hi?n,7510302A,18.75,4.9299998,431,2010,4,1
10130039,Nguy?n Thanh Ng?c,7140231,25.5,9.96,2837,2010,1,3
10130040,Bùi Trâm Thành,7810202,15.75,8.1599998,654,2010,1,3
10130041,Tr?n Tu?n Lan,7540101,18.25,1.21,2179,2010,1,2
10130042,D??ng Ái L?i,7510302C,24.5,2.96,833,2010,3,1
10130043,Nguy?n ??c Hà,7520212,28.75,1.4,4055,2010,3,2
10130044,Nguy?n Hoài An,7540101C,27.25,8.4799995,1892,2010,1,3
10130045,Bùi H?i Kh?i,7510206A,28.5,6.4699998,2854,2010,3,3
10130046,?? Thanh Lam,7510203,18.5,1.28,2713,2010,4,2
10130047,Hoàng Ng?c ??t,7340301C,26.5,8.8000002,3816,2010,1,3
10130048,D??ng ??c H?nh,7540101A,26.5,2.4200001,2481,2010,2,1
10130049,Lê Thanh ??t,7510601C,17.5,4.0900002,3956,2010,3,2
10130050,Phan Y?n Lam,7340301C,29.75,6.0500002,3636,2010,4,2
10130051,Hoàng H?i Hoàng,7510201A,25.5,1.22,1737,2010,3,3
10130052,Hu?nh Huy Tín,7510406,28.75,4.9899998,2581,2010,4,2
10130053,Lê V? Dung,7510401,25.25,8.2299995,3289,2010,4,1
10130054,Phan Kh?i H?i,7340122,25.5,5.0999999,2423,2010,1,3
10130055,Lê Qu?nh H?u,7510205,23.25,2.6700001,555,2010,2,1
10130056,??ng Nh?t ?oan,7480108,18.25,5.8800001,3832,2010,2,2
10130057,?? Huy Thành,7520117,27.25,6.9899998,1232,2010,1,1
10130058,Phan Lan Bình,7210403,26.75,1.6900001,1982,2010,2,2
10130059,Ngô Nh?t L?i,7510303,27.5,3.0699999,2857,2010,1,1
10130060,Hoàng Gia Khuê,7510201A,15.25,2.5599999,1354,2010,4,3
10130061,D??ng Ng?c Minh,7510102,29.5,3.8199999,1238,2010,4,2
10130062,?? Công Nhi,7510401C,22.25,1.3200001,1554,2010,3,2
10130063,Lý M?nh Sang,7510201A,17.75,0.13,1647,2010,4,1
10130064,Bùi Thi?n Nam,7540101C,29.25,4.4000001,2328,2010,2,1
